состояние,год,янвать,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,January 2023 (realtion),February 2023 (relation),April 2023 (relation),March 2023 (relation),May 2023 (relation),"June 2023 (relation) ",August 2023 (relation),December 2023 (relation),July 2023 (relation),November 2023 (relation),October 2023 (relation),September 2023 (relation)
восхитительно,3,2,,1,,,,,,,,,,"4 (https://www.notion.so/4-ac19c3acb9fe4238a46724423b3b919f?pvs=21), 18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21)",,,17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21),,,,,,,,
супер,14,1,1,2,4,1,2,1,2,,,,,19 (https://www.notion.so/19-847394794f4e485ab50c4d9fdd481ff2?pvs=21),8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21),"1 (https://www.notion.so/1-9aecf5270596478a98ace8dc82a6ba0b?pvs=21), 13 (https://www.notion.so/13-293f8c6a32de4b3588e66cb9d06bff94?pvs=21), 17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21), 30 (https://www.notion.so/30-9115b37999ab491dae234f82a6d73eee?pvs=21)","8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21), 16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21)",31 (https://www.notion.so/31-93caf7d93c7a4fd98e00498d0aaa7363?pvs=21),"3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21), 28 (https://www.notion.so/28-12a546fff2b04459b36b92b60411bdae?pvs=21)","11 (https://www.notion.so/11-7e18f400b4b1466d9d7882d756c52ffa?pvs=21), 14 (https://www.notion.so/14-5de4f394631d4c648860f64ec57bcef0?pvs=21)",,2 (https://www.notion.so/2-5112d02660a147ea84a5d3b191cf24ed?pvs=21),,,
хорошо,27,3,,3,3,5,3,7,3,,,,,"9 (https://www.notion.so/9-26584f3c48d24659b016adbde23211d8?pvs=21), 12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21), 16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21)",,"12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21), 14 (https://www.notion.so/14-5de4f394631d4c648860f64ec57bcef0?pvs=21), 28 (https://www.notion.so/28-12a546fff2b04459b36b92b60411bdae?pvs=21)","7 (https://www.notion.so/7-42244572e37949758db709d2a6bba2ea?pvs=21), 25 (https://www.notion.so/25-0e95ef33021244ff9c2022ef92ca218b?pvs=21), 27 (https://www.notion.so/27-a1c2c512fb1d41ecb5c06f5cf694e9de?pvs=21)","11 (https://www.notion.so/11-7e18f400b4b1466d9d7882d756c52ffa?pvs=21), 19 (https://www.notion.so/19-847394794f4e485ab50c4d9fdd481ff2?pvs=21), 18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21), 26 (https://www.notion.so/26-66c8f2e932b44e24b1d60e482cd8735b?pvs=21), 29 (https://www.notion.so/29-a4f160d9222941a8a63fef6ced807690?pvs=21)","13 (https://www.notion.so/13-293f8c6a32de4b3588e66cb9d06bff94?pvs=21), 17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21), 18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21)","1 (https://www.notion.so/1-9aecf5270596478a98ace8dc82a6ba0b?pvs=21), 10 (https://www.notion.so/10-543c09d5a62d49dd8f2b44751042893d?pvs=21), 17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21)",,"16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21), 19 (https://www.notion.so/19-847394794f4e485ab50c4d9fdd481ff2?pvs=21), 20 (https://www.notion.so/20-67d5274b750449538d263264ff75fc70?pvs=21), 21 (https://www.notion.so/21-660385be6f004d2c8c17f153968725d0?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21), 30 (https://www.notion.so/30-9115b37999ab491dae234f82a6d73eee?pvs=21), 29 (https://www.notion.so/29-a4f160d9222941a8a63fef6ced807690?pvs=21)",,,
глубоко,10,,3,1,,2,3,1,,,,,,,"6 (https://www.notion.so/6-f6274146aabb4f6ca0366db3a7692713?pvs=21), 21 (https://www.notion.so/21-660385be6f004d2c8c17f153968725d0?pvs=21), 28 (https://www.notion.so/28-12a546fff2b04459b36b92b60411bdae?pvs=21)",,2 (https://www.notion.so/2-5112d02660a147ea84a5d3b191cf24ed?pvs=21),"1 (https://www.notion.so/1-9aecf5270596478a98ace8dc82a6ba0b?pvs=21), 12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21)","1 (https://www.notion.so/1-9aecf5270596478a98ace8dc82a6ba0b?pvs=21), 15 (https://www.notion.so/15-ab40e083b60f4767bc7365c821249f7f?pvs=21), 16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21)",,,8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21),,,
работоспособно,15,5,3,2,2,1,,1,1,,,,,"10 (https://www.notion.so/10-543c09d5a62d49dd8f2b44751042893d?pvs=21), 11 (https://www.notion.so/11-7e18f400b4b1466d9d7882d756c52ffa?pvs=21), 17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21), 29 (https://www.notion.so/29-a4f160d9222941a8a63fef6ced807690?pvs=21)","3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21), 5 (https://www.notion.so/5-681c0684793b4b92916a73034baae2a6?pvs=21), 24 (https://www.notion.so/24-5c332a4e40a542269cbc2bbb8ecf07e5?pvs=21)","16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21), 25 (https://www.notion.so/25-0e95ef33021244ff9c2022ef92ca218b?pvs=21)","10 (https://www.notion.so/10-543c09d5a62d49dd8f2b44751042893d?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21)",3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21),,8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21),,26 (https://www.notion.so/26-66c8f2e932b44e24b1d60e482cd8735b?pvs=21),,,
спокойно,5,1,,,1,1,1,,1,,,,,6 (https://www.notion.so/6-f6274146aabb4f6ca0366db3a7692713?pvs=21),,3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21),,15 (https://www.notion.so/15-ab40e083b60f4767bc7365c821249f7f?pvs=21),22 (https://www.notion.so/22-594411da5afd4c338d3f49918db9f18d?pvs=21),13 (https://www.notion.so/13-293f8c6a32de4b3588e66cb9d06bff94?pvs=21),,,,,
нормально,36,6,2,3,4,5,6,6,4,,,,,"3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21), 8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21), 14 (https://www.notion.so/14-5de4f394631d4c648860f64ec57bcef0?pvs=21), 22 (https://www.notion.so/22-594411da5afd4c338d3f49918db9f18d?pvs=21), 27 (https://www.notion.so/27-a1c2c512fb1d41ecb5c06f5cf694e9de?pvs=21), 28 (https://www.notion.so/28-12a546fff2b04459b36b92b60411bdae?pvs=21)","12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21)","6 (https://www.notion.so/6-f6274146aabb4f6ca0366db3a7692713?pvs=21), 18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21), 21 (https://www.notion.so/21-660385be6f004d2c8c17f153968725d0?pvs=21)","19 (https://www.notion.so/19-847394794f4e485ab50c4d9fdd481ff2?pvs=21), 21 (https://www.notion.so/21-660385be6f004d2c8c17f153968725d0?pvs=21), 24 (https://www.notion.so/24-5c332a4e40a542269cbc2bbb8ecf07e5?pvs=21)","16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21), 20 (https://www.notion.so/20-67d5274b750449538d263264ff75fc70?pvs=21), 17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21), 22 (https://www.notion.so/22-594411da5afd4c338d3f49918db9f18d?pvs=21), 28 (https://www.notion.so/28-12a546fff2b04459b36b92b60411bdae?pvs=21)","6 (https://www.notion.so/6-f6274146aabb4f6ca0366db3a7692713?pvs=21), 7 (https://www.notion.so/7-42244572e37949758db709d2a6bba2ea?pvs=21), 8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21), 12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21), 26 (https://www.notion.so/26-66c8f2e932b44e24b1d60e482cd8735b?pvs=21)","2 (https://www.notion.so/2-5112d02660a147ea84a5d3b191cf24ed?pvs=21), 6 (https://www.notion.so/6-f6274146aabb4f6ca0366db3a7692713?pvs=21), 7 (https://www.notion.so/7-42244572e37949758db709d2a6bba2ea?pvs=21), 16 (https://www.notion.so/16-3b0b4b9ba28f4e7689603cc670caf9f4?pvs=21)",,"7 (https://www.notion.so/7-42244572e37949758db709d2a6bba2ea?pvs=21), 9 (https://www.notion.so/9-26584f3c48d24659b016adbde23211d8?pvs=21), 12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21), 13 (https://www.notion.so/13-293f8c6a32de4b3588e66cb9d06bff94?pvs=21), 18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21), 31 (https://www.notion.so/31-93caf7d93c7a4fd98e00498d0aaa7363?pvs=21)",,,
мимо,12,,1,3,1,1,3,3,,,,,,,18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21),22 (https://www.notion.so/22-594411da5afd4c338d3f49918db9f18d?pvs=21),"3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21), 11 (https://www.notion.so/11-7e18f400b4b1466d9d7882d756c52ffa?pvs=21), 18 (https://www.notion.so/18-01b375162601427e8759222cfcaba69a?pvs=21)",24 (https://www.notion.so/24-5c332a4e40a542269cbc2bbb8ecf07e5?pvs=21),"4 (https://www.notion.so/4-ac19c3acb9fe4238a46724423b3b919f?pvs=21), 19 (https://www.notion.so/19-847394794f4e485ab50c4d9fdd481ff2?pvs=21), 25 (https://www.notion.so/25-0e95ef33021244ff9c2022ef92ca218b?pvs=21)",,,"4 (https://www.notion.so/4-ac19c3acb9fe4238a46724423b3b919f?pvs=21), 11 (https://www.notion.so/11-7e18f400b4b1466d9d7882d756c52ffa?pvs=21), 17 (https://www.notion.so/17-a3fd80edc4d643a6bc024255adf5450b?pvs=21)",,,
странно,14,3,1,1,3,3,,2,1,,,,,"1 (https://www.notion.so/1-9aecf5270596478a98ace8dc82a6ba0b?pvs=21), 26 (https://www.notion.so/26-66c8f2e932b44e24b1d60e482cd8735b?pvs=21), 30 (https://www.notion.so/30-9115b37999ab491dae234f82a6d73eee?pvs=21)",11 (https://www.notion.so/11-7e18f400b4b1466d9d7882d756c52ffa?pvs=21),"2 (https://www.notion.so/2-5112d02660a147ea84a5d3b191cf24ed?pvs=21), 5 (https://www.notion.so/5-681c0684793b4b92916a73034baae2a6?pvs=21), 26 (https://www.notion.so/26-66c8f2e932b44e24b1d60e482cd8735b?pvs=21)",26 (https://www.notion.so/26-66c8f2e932b44e24b1d60e482cd8735b?pvs=21),"13 (https://www.notion.so/13-293f8c6a32de4b3588e66cb9d06bff94?pvs=21), 23 (https://www.notion.so/23-0bdc8649d7e2416a89c72b23c536f249?pvs=21), 27 (https://www.notion.so/27-a1c2c512fb1d41ecb5c06f5cf694e9de?pvs=21)",,3 (https://www.notion.so/3-aa8bc3d3a5da4e94bf7d17bf462b59b2?pvs=21),,"22 (https://www.notion.so/22-594411da5afd4c338d3f49918db9f18d?pvs=21), 25 (https://www.notion.so/25-0e95ef33021244ff9c2022ef92ca218b?pvs=21)",,,
тревожно,15,1,3,4,,3,2,2,,,,,,15 (https://www.notion.so/15-ab40e083b60f4767bc7365c821249f7f?pvs=21),"4 (https://www.notion.so/4-ac19c3acb9fe4238a46724423b3b919f?pvs=21), 19 (https://www.notion.so/19-847394794f4e485ab50c4d9fdd481ff2?pvs=21), 22 (https://www.notion.so/22-594411da5afd4c338d3f49918db9f18d?pvs=21)",,"4 (https://www.notion.so/4-ac19c3acb9fe4238a46724423b3b919f?pvs=21), 5 (https://www.notion.so/5-681c0684793b4b92916a73034baae2a6?pvs=21), 12 (https://www.notion.so/12-032ecb79d88f4e4b9f4de8e9ce0e8078?pvs=21), 28 (https://www.notion.so/28-12a546fff2b04459b36b92b60411bdae?pvs=21)","7 (https://www.notion.so/7-42244572e37949758db709d2a6bba2ea?pvs=21), 8 (https://www.notion.so/8-f69cdebdccff41fd81179fec2caa6306?pvs=21), 14 (https://www.notion.so/14-5de4f394631d4c648860f64ec57bcef0?pvs=21)","9 (https://www.notion.so/9-26584f3c48d24659b016adbde23211d8?pvs=21), 20 (https://www.notion.so/20-67d5274b750449538d263264ff75fc70?pvs=21)",,,"14 (https://www.notion.so/14-5de4f394631d4c648860f64ec57bcef0?pvs=21), 27 (https://www.notion.so/27-a1c2c512fb1d41ecb5c06f5cf694e9de?pvs=21)",,,
